School,Opponent,Date,Time,Location,Home_Away,League
Pingree,Kimball Union Academy,2026-03-21,12:45 PM,Southern New Hampshire,Away,NEPSAC
Pingree,Middlesex School,2026-03-28,3:00 PM,Pingree School,Home,NEPSAC
Pingree,Brewster Academy,2026-04-04,3:15 PM,Pingree School,Home,NEPSAC
Pingree,Brooks School,2026-04-06,4:45 PM,Brooks School,Away,NEPSAC
Pingree,Holderness School,2026-04-08,4:30 PM,Holderness School,Away,NEPSAC
Pingree,Milton Academy,2026-04-13,5:15 PM,Milton Academy,Away,NEPSAC
Pingree,Berwick Academy,2026-04-15,4:15 PM,Berwick Academy,Away,NEPSAC
Pingree,St. Paul's School,2026-04-24,5:30 PM,St. Paul's School,Away,NEPSAC
Pingree,Dexter Southfield School,2026-04-25,12:00 PM,Pingree School,Home,NEPSAC
Pingree,Cushing Academy,2026-04-29,5:30 PM,Cushing Academy,Away,NEPSAC
Pingree,Northfield Mount Hermon School,2026-05-01,5:00 PM,Pingree School,Home,NEPSAC
Pingree,New Hampton School,2026-05-02,3:45 PM,New Hampton School,Away,NEPSAC
Pingree,Proctor Academy,2026-05-04,5:30 PM,Proctor Academy,Away,NEPSAC
Pingree,Portsmouth Abbey School,2026-05-06,5:15 PM,Pingree School,Home,NEPSAC
Pingree,Austin Preparatory School,2026-05-11,4:30 PM,Pingree School,Home,NEPSAC
Pingree,Phillips Exeter Academy,2026-05-13,3:30 PM,Pingree School,Home,NEPSAC
Pingree,NESLL Tournament,2026-05-15,All Day,Dexter Southfield School,Away,Tournament
Pingree,Phillips Academy Andover,2026-05-20,4:00 PM,Pingree School,Home,NEPSAC
Dexter Southfield,Belmont Hill School,2026-03-05,4:00 PM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,Albany Academy,2026-03-19,2:00 PM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,St. John's Preparatory School,2026-03-21,10:00 AM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,Brooks School,2026-03-23,4:15 PM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,Everest Academy,2026-03-25,3:00 PM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,St. Mark's School,2026-03-28,3:30 PM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,Buckingham Browne and Nichols School,2026-04-01,3:30 PM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,New Hampton School,2026-04-03,5:00 PM,New Hampton School,Away,NEPSAC
Dexter Southfield,Milton Academy,2026-04-06,5:00 PM,Milton Academy,Away,ISL
Dexter Southfield,Williston Northampton School,2026-04-08,4:00 PM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,Northfield Mount Hermon School,2026-04-11,1:00 PM,Northfield Mount Hermon School,Away,NEPSAC
Dexter Southfield,St. George's School,2026-04-13,5:00 PM,St. George's School,Away,NEPSAC
Dexter Southfield,St. Paul's School,2026-04-15,4:00 PM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,Phillips Exeter Academy,2026-04-18,4:30 PM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,Tabor Academy,2026-04-24,5:00 PM,Tabor Academy,Away,NEPSAC
Dexter Southfield,Pingree School,2026-04-25,12:00 PM,Pingree School,Away,NEPSAC
Dexter Southfield,Portsmouth Abbey School,2026-04-29,3:30 PM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,Austin Preparatory School,2026-05-01,3:30 PM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,Cushing Academy,2026-05-06,5:30 PM,Dexter Southfield - Main Field,Home,NEPSAC
Dexter Southfield,Wells High School,2026-05-08,5:30 PM,Dexter Southfield - Main Field,Home,Non-League
Dexter Southfield,Phillips Academy,2026-05-13,3:30 PM,Phillips Academy,Away,NEPSAC
Dexter Southfield,TBD,2026-05-15,5:00 PM,Dexter Southfield - Main Field,Home,Tournament
Dexter Southfield,TBD,2026-05-15,6:45 PM,Dexter Southfield - Main Field,Home,Tournament
Phillips Exeter,Bridgton Academy,2026-03-05,5:30 PM,Exeter NH - Phelps Stadium,Home,NEPSAC
